technique;timestamp;total_time;window_ratio;order;smooth_factor;iterations;lambda_factor;fitness;extrapolations;mse;curvature_mean;curvature_max;torsao_mean;torsao_max;risk_points;acuracia_final
Savitzky-Golay;2025-06-05T15:52:21.587080;13,088001;0,050000;2;;;;6,512116;1;0,162669;0,037164;0,137449;0,000430;1,320001;0;1,246424
Savitzky-Golay;2025-06-05T15:52:34.058079;12,469999;0,050000;3;;;;6,313266;1;0,158904;0,039455;0,138891;0,018238;1,099603;0;0,986595
Savitzky-Golay;2025-06-05T15:52:46.437090;12,378011;0,050000;5;;;;4,098332;0;0,085383;0,095658;0,502766;0,029377;5,688144;0;0,985773
Savitzky-Golay;2025-06-05T15:52:58.771089;12,334000;0,050000;7;;;;1104926951848,025391;0;0,000000;0,507879;1,791338;16615442884,946121;2143392132149,652100;0;1,000000
Savitzky-Golay;2025-06-05T15:53:11.342238;12,571148;0,050000;9;;;;1104926951848,025391;0;0,000000;0,507879;1,791338;16615442884,946121;2143392132149,652100;0;1,000000
Savitzky-Golay;2025-06-05T15:53:23.899241;12,557003;0,100000;2;;;;22,552837;4;0,352897;0,026015;0,078587;0,030131;1,346896;2;1,306438
Savitzky-Golay;2025-06-05T15:53:36.745045;12,844809;0,100000;3;;;;22,512868;4;0,350188;0,025968;0,078587;0,019894;1,346896;2;1,268181
Savitzky-Golay;2025-06-05T15:53:48.973012;12,227966;0,100000;5;;;;21,167061;1;0,185059;0,037937;0,180744;0,238538;29,883776;0;0,945947
Savitzky-Golay;2025-06-05T15:54:01.236009;12,262997;0,100000;7;;;;1,821716;0;0,129513;0,050728;0,168363;0,016818;2,007830;0;1,002790
Savitzky-Golay;2025-06-05T15:54:13.468009;12,232001;0,100000;9;;;;1,802032;0;0,095633;0,089558;0,551546;0,004236;1,110521;0;0,996148
Savitzky-Golay;2025-06-05T15:54:25.699009;12,230000;0,150000;2;;;;38,243438;7;0,696584;0,022268;0,063086;0,001602;0,755448;4;1,370461
Savitzky-Golay;2025-06-05T15:54:37.940009;12,241000;0,150000;3;;;;43,547620;8;0,685700;0,022798;0,063086;0,009207;1,376696;4;1,327212
Savitzky-Golay;2025-06-05T15:54:50.172009;12,231000;0,150000;5;;;;14,638547;2;0,292253;0,031474;0,207962;0,070737;6,237147;1;1,156728
Savitzky-Golay;2025-06-05T15:55:02.410010;12,238001;0,150000;7;;;;6,589613;1;0,195145;0,038270;0,159231;0,036945;1,585875;0;0,935001
Savitzky-Golay;2025-06-05T15:55:14.632010;12,221000;0,150000;9;;;;1,473497;0;0,151669;0,044699;0,187816;0,020970;1,276849;0;1,001503
Savitzky-Golay;2025-06-05T15:55:26.911009;12,278999;0,300000;2;;;;329,671263;62;5,149095;0,017930;0,045753;0,017374;0,824967;34;3,255022
Savitzky-Golay;2025-06-05T15:55:39.117009;12,206000;0,300000;3;;;;301,402472;57;4,031330;0,020270;0,058868;0,018440;0,402830;30;1,323269
Savitzky-Golay;2025-06-05T15:55:51.386014;12,269005;0,300000;5;;;;90,154185;17;1,076560;0,023443;0,092830;0,014209;0,163966;8;1,592826
Savitzky-Golay;2025-06-05T15:56:03.698015;12,311003;0,300000;7;;;;28,158376;5;0,554062;0,025832;0,168674;0,015630;0,527036;4;1,175707
Savitzky-Golay;2025-06-05T15:56:15.939009;12,238998;0,300000;9;;;;18,091856;3;0,358403;0,033158;0,319581;0,035949;2,170302;2;1,026139
B-Spline;2025-06-05T15:56:28.164011;12,224002;;2;1;;;6,666376;0;0,007752;0,343658;0,930680;0,251775;8,091995;0;0,996116
