technique;timestamp;total_time;window_ratio;order;smooth_factor;iterations;lambda_factor;fitness;extrapolations;mse;curvature_mean;curvature_max;torsao_mean;torsao_max;risk_points;acuracia_final;normalized_extrapolations;normalized_risk_points;normalized_torsao_max
Savitzky-Golay;2025-06-13T15:26:00.971632;12,536001;0,050000;2;;;;2,963647;1;0,244628;0,035262;0,127870;0,041036;8,766184;0;0,260653;0,219213;0,000000;0,438620
Savitzky-Golay;2025-06-13T15:26:13.510631;12,538998;0,050000;3;;;;2,981822;1;0,239921;0,036457;0,127870;0,051914;9,288112;0;0,212471;0,219213;0,000000;0,464466
Savitzky-Golay;2025-06-13T15:26:25.967631;12,457000;0,050000;5;;;;1,185636;0;0,200101;0,072880;0,434513;0,084587;10,873078;0;0,075255;0,000000;0,000000;0,543543
Savitzky-Golay;2025-06-13T15:26:38.351636;12,382000;0,050000;7;;;;2,055605;0;0,118787;0,202507;1,454077;0,013121;7,387655;0;0,004364;0,000000;0,000000;0,372275
Savitzky-Golay;2025-06-13T15:26:50.793631;12,440979;0,050000;9;;;;3,290788;0;0,000000;0,789329;2,211532;0,050530;4,220021;0;0,000000;0,000000;0,000000;0,239396
Savitzky-Golay;2025-06-13T15:27:03.236631;12,443001;0,100000;2;;;;4,687678;4;0,388021;0,026316;0,088888;0,017571;0,632338;2;0,373437;0,407925;0,308685;0,133134
Savitzky-Golay;2025-06-13T15:27:15.688631;12,450999;0,100000;3;;;;5,015296;5;0,384343;0,026521;0,088888;0,026505;0,691476;2;0,333959;0,441252;0,308685;0,134504
Savitzky-Golay;2025-06-13T15:27:28.117631;12,428000;0,100000;5;;;;2,593343;1;0,254316;0,036363;0,125754;0,010189;1,129020;0;0,146125;0,219213;0,000000;0,145021
Savitzky-Golay;2025-06-13T15:27:40.589630;12,471000;0,100000;7;;;;2,964289;1;0,222463;0,047391;0,359733;0,086157;3,609006;0;0,096924;0,219213;0,000000;0,217857
Savitzky-Golay;2025-06-13T15:27:53.051630;12,460999;0,100000;9;;;;1,097961;0;0,197867;0,069939;0,461780;0,000341;10,687638;0;0,029466;0,000000;0,000000;0,534328
Savitzky-Golay;2025-06-13T15:28:05.562631;12,510000;0,150000;2;;;;6,545404;12;0,703449;0,022251;0,065570;0,008092;0,821188;5;0,654353;0,575923;0,441252;0,137553
Savitzky-Golay;2025-06-13T15:28:18.020631;12,458000;0,150000;3;;;;6,433295;12;0,687936;0,023047;0,065570;0,014455;0,824873;5;0,359842;0,575923;0,441252;0,137641
Savitzky-Golay;2025-06-13T15:28:30.479632;12,459001;0,150000;5;;;;4,521147;4;0,340526;0,028955;0,096749;0,034068;1,079260;0;0,260704;0,407925;0,000000;0,143792
Savitzky-Golay;2025-06-13T15:28:42.984632;12,504000;0,150000;7;;;;2,627237;1;0,259786;0,037210;0,150285;0,007667;1,559594;0;0,144831;0,219213;0,000000;0,156028
Savitzky-Golay;2025-06-13T15:28:55.508631;12,522997;0,150000;9;;;;0,653230;0;0,235218;0,042630;0,281808;0,010967;4,545747;0;0,107112;0,000000;0,000000;0,251458
Savitzky-Golay;2025-06-13T15:29:07.969635;12,460000;0,300000;2;;;;10,847563;76;4,409856;0,018278;0,049026;0,009860;1,293675;38;2,777314;0,869021;0,758245;0,149152
