technique;timestamp;total_time;window_ratio;order;smooth_factor;iterations;lambda_factor;fitness;extrapolations;mse;curvature_mean;curvature_max;torsao_mean;torsao_max;risk_points;acuracia_final;normalized_extrapolations;normalized_risk_points;normalized_torsao_max
Savitzky-Golay;2025-06-13T15:10:51.680733;12,517245;0,050000;2;;;;2,427860;1;0,148529;0,037210;0,128755;0,027462;2,389774;1;0,211527;0,186268;0,186268;0,179161
Savitzky-Golay;2025-06-13T15:11:04.170734;12,489003;0,050000;3;;;;2,420519;1;0,144903;0,038342;0,128755;0,039079;2,322191;1;0,167157;0,186268;0,186268;0,177181
Savitzky-Golay;2025-06-13T15:11:16.629734;12,458001;0,050000;5;;;;0,942817;0;0,110597;0,071614;0,383220;0,256523;2,518370;0;0,093565;0,000000;0,000000;0,182974
Savitzky-Golay;2025-06-13T15:11:29.099732;12,469997;0,050000;7;;;;1,829412;0;0,083818;0,157675;0,962121;0,097752;12,026898;0;0,008754;0,000000;0,000000;0,599979
Savitzky-Golay;2025-06-13T15:11:41.626731;12,525999;0,050000;9;;;;2,945636;0;0,055393;0,337018;1,884721;0,025031;14,062686;0;0,001690;0,000000;0,000000;0,692650
Savitzky-Golay;2025-06-13T15:11:54.098731;12,471000;0,100000;2;;;;4,213164;4;0,306862;0,026157;0,088770;0,019008;0,958104;3;0,211545;0,366050;0,325190;0,140834
Savitzky-Golay;2025-06-13T15:12:06.584731;12,484993;0,100000;3;;;;4,230103;4;0,302039;0,026466;0,088770;0,028629;0,840046;3;0,237356;0,366050;0,325190;0,138001
Savitzky-Golay;2025-06-13T15:12:19.061730;12,476999;0,100000;5;;;;3,268038;2;0,166545;0,035232;0,128896;0,026478;2,389442;2;0,109175;0,270282;0,270282;0,179151
Savitzky-Golay;2025-06-13T15:12:31.523730;12,462000;0,100000;7;;;;0,595703;0;0,138981;0,044348;0,288676;0,011958;2,585810;0;0,129556;0,000000;0,000000;0,184999
Savitzky-Golay;2025-06-13T15:12:43.987730;12,462997;0,100000;9;;;;0,830037;0;0,121527;0,059848;0,449113;0,090122;2,892809;0;0,060910;0,000000;0,000000;0,194436
Savitzky-Golay;2025-06-13T15:12:56.476730;12,488000;0,150000;2;;;;7,278548;15;0,683558;0,021736;0,064477;0,077964;21,449590;9;0,584475;0,566067;0,487042;0,908039
Savitzky-Golay;2025-06-13T15:13:08.961730;12,485000;0,150000;3;;;;6,356256;15;0,663892;0,022641;0,064477;0,006603;2,011012;10;0,288968;0,566067;0,503209;0,168290
Savitzky-Golay;2025-06-13T15:13:21.437730;12,475000;0,150000;5;;;;4,263525;4;0,269212;0,028664;0,094837;0,032823;1,371732;3;0,265111;0,366050;0,325190;0,151144
Savitzky-Golay;2025-06-13T15:13:33.910730;12,473000;0,150000;7;;;;2,539792;1;0,173673;0,036149;0,163003;0,012732;6,056962;1;0,105659;0,186268;0,186268;0,312468
Savitzky-Golay;2025-06-13T15:13:46.350731;12,439001;0,150000;9;;;;0,727327;0;0,152303;0,041001;0,343983;0,032834;1,385932;1;0,124087;0,000000;0,186268;0,151509
Savitzky-Golay;2025-06-13T15:13:58.816730;12,464997;0,300000;2;;;;11,086795;110;4,508610;0,018247;0,063932;0,011026;1,662243;44;2,979989;0,882398;0,736001;0,158751
Savitzky-Golay;2025-06-13T15:14:11.303730;12,487000;0,300000;3;;;;9,853630;94;3,697238;0,019398;0,048122;0,016819;0,609960;42;0,825959;0,857227;0,728597;0,132618
Savitzky-Golay;2025-06-13T15:14:23.693732;12,390002;0,300000;5;;;;7,195378;25;0,929536;0,022090;0,062085;0,010985;0,526364;15;0,325815;0,646320;0,566067;0,130706
Savitzky-Golay;2025-06-13T15:14:36.084730;12,389997;0,300000;7;;;;6,014898;12;0,500346;0,025670;0,100224;0,050044;2,600353;9;0,115941;0,531359;0,487042;0,185438
Savitzky-Golay;2025-06-13T15:14:48.532730;12,448000;0,300000;9;;;;4,672808;5;0,318660;0,029290;0,131342;0,013895;1,037014;5;0,345777;0,398605;0,398605;0,142755
B-Spline;2025-06-13T15:15:01.141740;12,607009;;2;1;;;4,430137;0;0,004366;1,002251;2,687519;0,090941;13,036097;0;0,004207;0,000000;0,000000;0,647306
B-Spline;2025-06-13T15:15:13.613740;12,472000;;3;1;;;3,863350;0;0,004367;0,872241;1,729440;0,258174;128,918398;0;0,007643;0,000000;0,000000;1,000000
B-Spline;2025-06-13T15:15:26.060740;12,445999;;4;1;;;4,921825;0;0,004367;0,997416;2,565025;0,451305;21,328691;0;0,004104;0,000000;0,000000;0,905999
B-Spline;2025-06-13T15:15:38.545740;12,485000;;5;1;;;4,368214;0;0,004369;0,904830;2,438222;0,026884;39,626043;0;0,001262;0,000000;0,000000;0,997336
B-Spline;2025-06-13T15:15:51.011740;12,466000;;2;5;;;3,277538;0;0,021835;0,590805;1,817885;0,107481;15,479404;0;0,024234;0,000000;0,000000;0,749488
B-Spline;2025-06-13T15:16:03.486740;12,475000;;3;5;;;3,299285;0;0,021816;0,548022;1,492091;0,544921;14,074324;0;0,047307;0,000000;0,000000;0,693145
B-Spline;2025-06-13T15:16:15.974740;12,486000;;4;5;;;3,405231;0;0,021826;0,652403;2,318201;0,042093;7,671501;0;0,011788;0,000000;0,000000;0,385635
B-Spline;2025-06-13T15:16:28.450741;12,476001;;5;5;;;4,324450;0;0,021835;0,649210;2,456809;0,215684;54,625555;0;0,001740;0,000000;0,000000;0,999867
B-Spline;2025-06-13T15:16:40.902740;12,450999;;2;15;;;2,306163;0;0,065465;0,187992;1,072227;0,004435;39,442678;0;0,094313;0,000000;0,000000;0,997237
B-Spline;2025-06-13T15:16:53.394740;12,491000;;3;15;;;2,169246;0;0,065486;0,177844;0,859464;0,185069;21,574940;0;0,075521;0,000000;0,000000;0,910111
B-Spline;2025-06-13T15:17:05.797740;12,402000;;4;15;;;1,396742;0;0,065475;0,162138;0,767722;0,045064;8,021082;0;0,032359;0,000000;0,000000;0,402326
B-Spline;2025-06-13T15:17:18.294742;12,496000;;5;15;;;1,928276;0;0,065482;0,180512;1,215266;0,162273;7,131764;0;0,008200;0,000000;0,000000;0,360396
B-Spline;2025-06-13T15:17:30.824796;12,529053;;2;30;;;0,694492;0;0,130886;0,039254;0,104206;0,080510;7,485655;0;0,201413;0,000000;0,000000;0,376867
B-Spline;2025-06-13T15:17:43.315795;12,490000;;3;30;;;2,299899;1;0,131012;0,036253;0,143421;0,016631;1,794919;0;0,163727;0,186268;0,000000;0,162327
B-Spline;2025-06-13T15:17:55.823798;12,508002;;4;30;;;2,407965;1;0,131006;0,038973;0,201985;0,001142;4,018678;0;0,144874;0,186268;0,000000;0,232140
B-Spline;2025-06-13T15:18:08.205795;12,381997;;5;30;;;0,872274;0;0,130978;0,039340;0,191976;0,027316;10,991261;0;0,127853;0,000000;0,000000;0,549401
B-Spline;2025-06-13T15:18:20.613795;12,408000;;2;35;;;3,199920;2;0,152736;0,035269;0,105367;0,019891;3,901515;0;0,233283;0,270282;0,000000;0,227990
B-Spline;2025-06-13T15:18:33.138795;12,525000;;3;35;;;2,295134;1;0,152762;0,032242;0,132166;0,007158;1,352805;0;0,237392;0,186268;0,000000;0,150659
B-Spline;2025-06-13T15:18:45.584797;12,445001;;4;35;;;2,412069;1;0,152820;0,034745;0,208867;0,003624;2,229587;0;0,280946;0,186268;0,000000;0,174497
B-Spline;2025-06-13T15:18:58.086795;12,500998;;5;35;;;2,375177;1;0,152848;0,033777;0,194160;0,015665;2,476899;0;0,179693;0,186268;0,000000;0,181737
Laplaciana;2025-06-13T15:19:10.595799;12,506002;;;;3;0,050000;3,269667;0;0,015119;0,691601;1,299737;0,325719;24,838987;0;0,000000;0,000000;0,000000;0,951098
Laplaciana;2025-06-13T15:19:23.065796;12,469997;;;;3;0,100000;1,852479;0;0,042159;0,395511;0,810093;0,279803;7,185041;0;0,000000;0,000000;0,000000;0,362855
Laplaciana;2025-06-13T15:19:35.525795;12,460000;;;;3;0,200000;0,749393;0;0,089152;0,132880;0,341742;0,081283;2,571634;0;0,000000;0,000000;0,000000;0,184572
Laplaciana;2025-06-13T15:19:48.008796;12,483001;;;;3;0,300000;1,085675;0;0,120585;0,068269;0,191078;0,450765;5,036252;1;0,000000;0,000000;0,186268;0,270369
Laplaciana;2025-06-13T15:20:00.534796;12,526000;;;;5;0,050000;2,477225;0;0,031297;0,489522;0,951242;0,089153;24,140589;0;0,000000;0,000000;0,000000;0,944176
Laplaciana;2025-06-13T15:20:12.958795;12,423000;;;;5;0,100000;0,970628;0;0,070089;0,214067;0,525372;0,011655;3,451106;0;0,000000;0,000000;0,000000;0,212524
Laplaciana;2025-06-13T15:20:25.438795;12,479000;;;;5;0,200000;0,623205;0;0,116982;0,064972;0,189538;0,049448;3,507384;1;0,000000;0,000000;0,186268;0,214414
Laplaciana;2025-06-13T15:20:37.920796;12,482001;;;;5;0,300000;3,272916;2;0,148971;0,043676;0,128754;0,090075;3,054927;1;0,000000;0,270282;0,186268;0,199565
Laplaciana;2025-06-13T15:20:50.365798;12,445002;;;;7;0,050000;2,201908;0;0,046861;0,356379;0,706644;0,283938;18,683224;0;0,000000;0,000000;0,000000;0,850260
Laplaciana;2025-06-13T15:21:02.801796;12,434995;;;;7;0,100000;0,855318;0;0,089737;0,127338;0,323004;0,168189;3,896457;0;0,000000;0,000000;0,000000;0,227812
Laplaciana;2025-06-13T15:21:15.290676;12,487880;;;;7;0,200000;2,544692;1;0,135516;0,047765;0,139959;0,078259;5,984174;1;0,000000;0,186268;0,186268;0,309349
Laplaciana;2025-06-13T15:21:27.757730;12,467054;;;;7;0,300000;3,365738;2;0,174134;0,036122;0,114064;0,042716;6,172786;2;0,000000;0,270282;0,270282;0,317466
Laplaciana;2025-06-13T15:21:40.238728;12,480998;;;;10;0,050000;1,410265;0;0,066611;0,230409;0,557778;0,009937;12,141735;0;0,000000;0,000000;0,000000;0,605479
