technique;timestamp;total_time;window_ratio;order;smooth_factor;iterations;lambda_factor;fitness;extrapolations;mse;curvature_mean;curvature_max;torsao_mean;torsao_max;risk_points;acuracia_final
Savitzky-Golay;2025-06-05T16:08:15.167581;12,270005;0,050000;2;;;;4,195052;0;0,144709;0,042681;0,132878;0,052891;6,534921;0;1,178197
Savitzky-Golay;2025-06-05T16:08:27.503615;12,334038;0,050000;3;;;;4,102680;0;0,142419;0,044681;0,134683;0,049890;6,530700;0;0,998527
Savitzky-Golay;2025-06-05T16:08:39.766575;12,261952;0,050000;5;;;;15,167187;0;0,085776;0,111846;0,503134;0,151509;27,271652;0;0,985878
Savitzky-Golay;2025-06-05T16:08:51.929575;12,163000;0,050000;7;;;;47972011454,608276;0;0,000000;0,724818;1,846315;23986005723,947281;5,835520;0;1,000000
Savitzky-Golay;2025-06-05T16:09:04.182575;12,253000;0,050000;9;;;;47972011454,608276;0;0,000000;0,724818;1,846315;23986005723,947281;5,835520;0;1,000000
Savitzky-Golay;2025-06-05T16:09:16.436576;12,254000;0,100000;2;;;;11,934009;2;0,349146;0,026878;0,100538;0,011443;0,830203;1;1,613624
Savitzky-Golay;2025-06-05T16:09:28.696575;12,259000;0,100000;3;;;;11,756021;2;0,339422;0,026928;0,100538;0,022685;0,830203;1;1,214426
Savitzky-Golay;2025-06-05T16:09:40.951575;12,255000;0,100000;5;;;;1,653422;0;0,196107;0,037018;0,240759;0,004650;1,569744;0;1,049691
Savitzky-Golay;2025-06-05T16:09:53.188576;12,236001;0,100000;7;;;;4,555618;0;0,136421;0,049079;0,170874;0,015138;7,498130;0;0,987207
Savitzky-Golay;2025-06-05T16:10:05.491575;12,302000;0,100000;9;;;;3,128959;0;0,106308;0,079355;0,672272;0,118295;3,109063;0;0,992448
Savitzky-Golay;2025-06-05T16:10:17.720575;12,229000;0,150000;2;;;;57,970525;11;0,705322;0,022336;0,069249;0,001980;0,790958;3;1,773270
Savitzky-Golay;2025-06-05T16:10:29.978581;12,257039;0,150000;3;;;;58,427754;11;0,689560;0,023297;0,069249;0,027825;1,877468;3;1,497141
Savitzky-Golay;2025-06-05T16:10:42.212575;12,232996;0,150000;5;;;;12,131419;2;0,312366;0,028808;0,111116;0,025623;2,727246;0;1,033164
Savitzky-Golay;2025-06-05T16:10:54.479576;12,267001;0,150000;7;;;;1,430638;0;0,223863;0,037204;0,288851;0,016230;0,949208;0;1,075858
Savitzky-Golay;2025-06-05T16:11:06.722575;12,242999;0,150000;9;;;;1,741873;0;0,165833;0,043270;0,308394;0,075977;1,395134;0;0,961669
Savitzky-Golay;2025-06-05T16:11:19.010575;12,287000;0,300000;2;;;;367,911832;69;4,831181;0,017717;0,045073;0,016139;1,071222;40;3,560633
Savitzky-Golay;2025-06-05T16:11:31.334575;12,324000;0,300000;3;;;;339,687747;64;3,605142;0,019697;0,044749;0,023008;0,209681;36;2,184469
Savitzky-Golay;2025-06-05T16:11:43.618575;12,283000;0,300000;5;;;;75,073197;14;0,990015;0,023352;0,079860;0,009232;1,095871;7;1,562467
Savitzky-Golay;2025-06-05T16:11:55.839614;12,221039;0,300000;7;;;;33,209449;6;0,495082;0,026365;0,167639;0,031904;0,648848;4;1,102680
Savitzky-Golay;2025-06-05T16:12:08.142575;12,301995;0,300000;9;;;;16,501772;3;0,324620;0,031428;0,280030;0,028452;1,198282;0;0,940759
B-Spline;2025-06-05T16:12:20.413575;12,269000;;2;1;;;11,974072;0;0,006621;0,487272;1,177487;0,024637;18,546738;0;0,997471
B-Spline;2025-06-05T16:12:32.670576;12,257001;;3;1;;;20,816085;0;0,006617;0,625453;1,811966;0,268549;33,430971;0;0,999937
B-Spline;2025-06-05T16:12:44.936577;12,266001;;4;1;;;5,476496;0;0,006618;0,606009;1,663708;0,043780;4,025167;0;0,999933
B-Spline;2025-06-05T16:12:57.174581;12,238004;;5;1;;;5,274016;0;0,006622;0,504353;1,387120;0,123434;4,261527;0;0,999795
B-Spline;2025-06-05T16:13:09.438575;12,261998;;2;5;;;4,299626;0;0,033108;0,334292;1,287888;0,005714;3,671895;0;0,984936
B-Spline;2025-06-05T16:13:21.718577;12,279001;;3;5;;;5,203186;0;0,033131;0,294537;1,030882;0,022262;6,072975;0;0,997811
B-Spline;2025-06-05T16:13:34.012612;12,294035;;4;5;;;3,829518;0;0,033115;0,328940;1,415033;0,058950;2,271198;0;0,999590
B-Spline;2025-06-05T16:13:46.278592;12,265001;;5;5;;;5,093915;0;0,033144;0,327925;1,375382;0,076041;4,814830;0;0,999742
B-Spline;2025-06-05T16:13:58.474615;12,196022;;2;15;;;3,847808;0;0,099362;0,060443;0,234096;0,038755;5,799573;0;1,011184
B-Spline;2025-06-05T16:14:10.736575;12,259998;;3;15;;;4,117231;0;0,099251;0,066762;0,344927;0,030895;6,138819;0;0,995308
B-Spline;2025-06-05T16:14:22.973577;12,237002;;4;15;;;4,558445;0;0,099353;0,057551;0,168311;0,036739;7,389561;0;0,993679
B-Spline;2025-06-05T16:14:35.229575;12,255998;;5;15;;;1,992988;0;0,099355;0,061533;0,298178;0,141694;1,561597;0;0,995245
B-Spline;2025-06-05T16:14:47.466577;12,236002;;2;30;;;6,829181;1;0,198627;0,030699;0,124819;0,005186;1,162928;1;1,062534
B-Spline;2025-06-05T16:14:59.697575;12,229999;;3;30;;;11,672779;2;0,198680;0,029220;0,092842;0,024224;1,861799;0;1,044563
B-Spline;2025-06-05T16:15:11.922576;12,224000;;4;30;;;16,257588;3;0,198724;0,029383;0,110735;0,038749;0,929669;0;1,051765
B-Spline;2025-06-05T16:15:24.130577;12,208001;;5;30;;;11,814207;2;0,198828;0,030752;0,116573;0,033061;2,090925;0;1,009325
B-Spline;2025-06-05T16:15:36.421575;12,290999;;2;35;;;12,094335;2;0,231878;0,029454;0,120873;0,003741;1,414976;1;1,352795
B-Spline;2025-06-05T16:15:48.651612;12,230037;;3;35;;;6,973723;1;0,231848;0,029919;0,097336;0,008425;1,344826;1;1,208202
B-Spline;2025-06-05T16:16:00.914580;12,261003;;4;35;;;17,296024;3;0,231556;0,029929;0,113794;0,014536;3,291833;0;0,848456
B-Spline;2025-06-05T16:16:13.115575;12,199997;;5;35;;;17,175826;3;0,231841;0,028829;0,074231;0,040452;1,876262;1;1,003436
Laplaciana;2025-06-05T16:16:25.374586;12,257011;;;;3;0,050000;6,772702;0;0,019584;0,406497;0,979067;0,138418;8,403694;0;1,000000
Laplaciana;2025-06-05T16:16:37.729584;12,354998;;;;3;0,100000;26,168703;0;0,055098;0,218226;0,514537;0,309508;48,186374;0;1,000000
Laplaciana;2025-06-05T16:16:49.962585;12,233000;;;;3;0,200000;13,850909;0;0,122023;0,067268;0,183665;0,233499;25,107017;0;1,000000
Laplaciana;2025-06-05T16:17:02.222586;12,260002;;;;3;0,300000;1,842824;0;0,179162;0,040776;0,127345;0,032885;2,100479;0;1,000000
