technique;timestamp;total_time;window_ratio;order;smooth_factor;iterations;lambda_factor;fitness;extrapolations;mse;curvature_mean;curvature_max;torsao_mean;torsao_max;risk_points;acuracia_final
Savitzky-Golay;2025-06-05T15:33:28.740258;12,489001;0,050000;2;;;;1,111128;0;0,086133;0,052723;0,177043;0,057645;1,289018;0;0,120452
Savitzky-Golay;2025-06-05T15:33:40.965258;12,224001;0,050000;3;;;;1,774092;0;0,084113;0,054542;0,177043;0,068640;2,635457;0;0,049089
Savitzky-Golay;2025-06-05T15:33:53.278257;12,312999;0,050000;5;;;;5,289435;0;0,000000;0,336521;0,924326;0,274828;6,284821;0;0,000000
Savitzky-Golay;2025-06-05T15:34:05.543257;12,264000;0,050000;7;;;;5,289435;0;0,000000;0,336521;0,924326;0,274828;6,284821;0;0,000000
Savitzky-Golay;2025-06-05T15:34:17.816258;12,273000;0,050000;9;;;;5,289435;0;0,000000;0,336521;0,924326;0,274828;6,284821;0;0,000000
Savitzky-Golay;2025-06-05T15:34:30.074257;12,257000;0,100000;2;;;;11,134186;2;0,273115;0,026892;0,096719;0,010879;0,783223;1;0,086005
Savitzky-Golay;2025-06-05T15:34:42.646238;12,570981;0,100000;3;;;;11,366888;2;0,268707;0,027505;0,096719;0,024168;1,077568;1;0,202339
Savitzky-Golay;2025-06-05T15:34:54.947239;12,301000;0,100000;5;;;;5,916023;1;0,125459;0,040169;0,169298;0,051501;1,036607;0;0,065070
Savitzky-Golay;2025-06-05T15:35:07.195239;12,248001;0,100000;7;;;;1,794455;0;0,084333;0,060943;0,294521;0,077708;2,415729;0;0,012668
Savitzky-Golay;2025-06-05T15:35:19.413239;12,216998;0,100000;9;;;;1,963111;0;0,050043;0,113869;0,548165;0,253490;1,349908;0;0,000540
Savitzky-Golay;2025-06-05T15:35:31.735240;12,322001;0,150000;2;;;;53,583524;10;0,639145;0,022049;0,065266;0,012875;0,423481;6;0,345512
Savitzky-Golay;2025-06-05T15:35:43.960238;12,223999;0,150000;3;;;;53,586780;10;0,630216;0,022801;0,065266;0,006226;0,678079;6;0,122797
Savitzky-Golay;2025-06-05T15:35:56.195253;12,235015;0,150000;5;;;;5,713516;1;0,243052;0,028980;0,099944;0,019447;0,850348;0;0,134477
Savitzky-Golay;2025-06-05T15:36:08.492251;12,296997;0,150000;7;;;;1,705715;0;0,142174;0,039639;0,183729;0,011470;2,765141;0;0,045958
Savitzky-Golay;2025-06-05T15:36:20.722290;12,229039;0,150000;9;;;;1,014634;0;0,106254;0,050135;0,277065;0,033944;1,108401;0;0,009170
Savitzky-Golay;2025-06-05T15:36:33.039250;12,315955;0,300000;2;;;;304,481596;58;4,715371;0,017982;0,048274;0,011738;0,869323;24;2,935366
Savitzky-Golay;2025-06-05T15:36:45.250250;12,210000;0,300000;3;;;;272,379460;52;3,852890;0,019259;0,047811;0,019388;0,160336;23;0,577795
Savitzky-Golay;2025-06-05T15:36:57.525253;12,275003;0,300000;5;;;;74,417641;14;0,957665;0,021952;0,062285;0,011456;0,177086;8;0,208464
